# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"1","A1","150","RPLP2","93.52703094482422","75398.796875","1023.96875"
"1","A1","151","RPLP2","93.75204467773438","73358.1640625","1007.20703125"
"1","A1","152","RPLP2","93.97705078125","74066.421875","1013.853515625"
"1","A1","153","RPLP2","94.20205688476562","73203.46875","1047.96484375"
"1","A1","154","RPLP2","94.42707824707031","72388.0859375","1104.06640625"
"1","A1","155","RPLP2","94.65208435058594","72914.8203125","1177.84765625"
"1","A1","156","RPLP2","94.87709045410156","73635.9296875","1269.28515625"
"2","A2","1","RPLP2","60.00040054321289","938189.375","18872.37109375"
"2","A2","2","RPLP2","60.22541046142578","934568.625","19085.810546875"
"2","A2","3","RPLP2","60.45042419433594","930593.5625","19243.7109375"
"2","A2","4","RPLP2","60.67543411254883","925435.4375","19325.873046875"
"2","A2","5","RPLP2","60.90044403076172","921388.125","19359.037109375"
"2","A2","6","RPLP2","61.12545394897461","916739.375","19406.373046875"
"2","A2","7","RPLP2","61.350467681884766","911839.625","19535.0"
"2","A2","8","RPLP2","61.575477600097656","907818.0","19778.30078125"
"2","A2","9","RPLP2","61.80048751831055","904453.5","20114.80859375"
"2","A2","10","RPLP2","62.02549743652344","898050.625","20475.26171875"
"2","A2","11","RPLP2","62.250511169433594","893122.1875","20772.68359375"
"2","A2","12","RPLP2","62.475521087646484","888752.4375","20937.984375"
"2","A2","13","RPLP2","62.700531005859375","881820.75","20944.416015625"
"2","A2","14","RPLP2","62.92554473876953","878311.6875","20813.39453125"
"2","A2","15","RPLP2","63.15055465698242","871075.625","20602.7421875"
"2","A2","16","RPLP2","63.37556457519531","869223.5625","20389.662109375"
"2","A2","17","RPLP2","63.6005744934082","863329.625","20255.556640625"
"2","A2","18","RPLP2","63.825584411621094","856258.1875","20274.22265625"
"2","A2","19","RPLP2","64.05059814453125","855280.1875","20496.18359375"
"2","A2","20","RPLP2","64.27560424804688","848896.625","20927.76953125"
"2","A2","21","RPLP2","64.50061798095703","843766.125","21511.861328125"
"2","A2","22","RPLP2","64.72563171386719","839889.6875","22038.958984375"
"2","A2","23","RPLP2","64.95063781738281","834993.125","22429.06640625"
"2","A2","24","RPLP2","65.17565155029297","826670.875","22644.798828125"
"2","A2","25","RPLP2","65.40066528320312","820103.125","22665.0703125"
"2","A2","26","RPLP2","65.62567138671875","814910.6875","22543.283203125"
"2","A2","27","RPLP2","65.8506851196289","810407.0625","22371.314453125"
"2","A2","28","RPLP2","66.07569885253906","807208.8125","22224.6171875"
"2","A2","29","RPLP2","66.30070495605469","802391.6875","22127.05078125"
"2","A2","30","RPLP2","66.52571868896484","796124.375","22060.1640625"
"2","A2","31","RPLP2","66.750732421875","786334.375","22003.751953125"
"2","A2","32","RPLP2","66.97573852539062","785556.8125","21966.974609375"
"2","A2","33","RPLP2","67.20075225830078","779211.4375","21984.435546875"
