# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:01 AM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"3","A3","27","RPLP2","7.968904495239258","5.691177357946123","pRH108","FALSE"
"3","A3","28","RPLP2","8.01585578918457","5.708335893494742","pRH108","FALSE"
"3","A3","29","RPLP2","8.041403770446777","5.704091116360256","pRH108","FALSE"
"3","A3","30","RPLP2","8.040261268615723","5.673155856132507","pRH108","FALSE"
"3","A3","31","RPLP2","8.030485153198242","5.633586982318333","pRH108","FALSE"
"3","A3","32","RPLP2","8.04260540008545","5.615914470808846","pRH108","FALSE"
"3","A3","33","RPLP2","8.052610397338867","5.596126709665571","pRH108","FALSE"
"3","A3","34","RPLP2","8.050432205200195","5.564155759130205","pRH108","FALSE"
"3","A3","35","RPLP2","8.066496849060059","5.550427644593375","pRH108","FALSE"
"3","A3","36","RPLP2","8.064092636108398","5.5182306732450215","pRH108","FALSE"
"3","A3","37","RPLP2","8.056674003601074","5.481019282341004","pRH108","FALSE"
"3","A3","38","RPLP2","8.041345596313477","5.435898116656712","pRH108","FALSE"
"3","A3","39","RPLP2","8.016218185424805","5.380977947371346","pRH108","FALSE"
"3","A3","40","RPLP2","7.996453762054443","5.331420765604292","pRH108","FALSE"
"4","A4","1","RPLP2","1.6008830070495605","0.016236090660095216","pRH112","FALSE"
"4","A4","2","RPLP2","1.6190632581710815","0.00885453224182129","pRH112","FALSE"
"4","A4","3","RPLP2","1.6407681703567505","0.004997634887695314","pRH112","FALSE"
"4","A4","4","RPLP2","1.6542131900787354","-0.007119154930114745","pRH112","FALSE"
"4","A4","5","RPLP2","1.6856770515441895","-0.001217103004455565","pRH112","FALSE"
"4","A4","6","RPLP2","1.716257095336914","0.0038011312484741225","pRH112","FALSE"
"4","A4","7","RPLP2","1.7375552654266357","-4.625082015991197E-4","pRH112","FALSE"
