# File Name: Ruimin_qPCR.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272530695
# Instrument Serial Number: 272530695
# Heated Cover Serial Number: 
# Block serial number: 
# Run Start Date/Time: 2023-12-21 12:31:53 AM UTC
# Run End Data/Time: 2023-12-21 02:17:41 AM UTC
# Run Duration: 105 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-02-13 04:28:30 AM UTC
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported By: guest
# Exported On: 2024-02-13 04:29:02 AM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"98","E2","pRH107","RBD","61.912994384765625","22781.99609375"
"98","E2","pRH107","RBD","68.55081176757812","24435.115234375"
"98","E2","pRH107","RBD","89.70184326171875","1802.06640625"
"99","E3","pRH108","RBD","83.5140380859375","122383.171875"
"99","E3","pRH108","RBD","68.21330261230469","23746.373046875"
"99","E3","pRH108","RBD","72.03848266601562","23542.576171875"
"99","E3","pRH108","RBD","90.4893798828125","2071.193359375"
"99","E3","pRH108","RBD","79.01382446289062","22234.71875"
"100","E4","pRH112","RBD","83.5140380859375","93497.1171875"
"100","E4","pRH112","RBD","89.58934020996094","2363.0546875"
"100","E4","pRH112","RBD","68.3258056640625","21201.740234375"
"100","E4","pRH112","RBD","65.28815460205078","20542.802734375"
"100","E4","pRH112","RBD","61.912994384765625","18578.61328125"
"101","E5","pRH106_0.1","RBD","83.73633575439453","65997.2109375"
"101","E5","pRH106_0.1","RBD","88.01101684570312","-6988.494140625"
"101","E5","pRH106_0.1","RBD","66.52511596679688","21177.1484375"
"102","E6","pRH106_0.01","RBD","83.84882354736328","93502.296875"
"102","E6","pRH106_0.01","RBD","92.96064758300781","17801.63671875"
"102","E6","pRH106_0.01","RBD","66.52511596679688","18823.97265625"
"102","E6","pRH106_0.01","RBD","79.34915924072266","-2655.513671875"
"102","E6","pRH106_0.01","RBD","60.78804016113281","16894.98046875"
"103","E7","pRH106_0.001","RBD","83.84882354736328","76301.8203125"
"103","E7","pRH106_0.001","RBD","69.33740234375","20099.501953125"
"103","E7","pRH106_0.001","RBD","67.65003204345703","20003.3828125"
"104","E8","pRH106_0.0001","RBD","83.96131896972656","23062.443359375"
"104","E8","pRH106_0.0001","RBD","70.46231842041016","11485.220703125"
"104","E8","pRH106_0.0001","RBD","88.23600006103516","-35794.1875"
"104","E8","pRH106_0.0001","RBD","75.18696594238281","4774.60693359375"
"104","E8","pRH106_0.0001","RBD","78.67420959472656","3956.263916015625"
"121","F1","pRH106","RBD","83.62654876708984","118457.859375"
"121","F1","pRH106","RBD","76.08868408203125","23735.98046875"
"121","F1","pRH106","RBD","93.86454772949219","2454.080078125"
"121","F1","pRH106","RBD","67.08824157714844","25185.365234375"
"121","F1","pRH106","RBD","79.23883056640625","21207.033203125"
"122","F2","pRH107","RBD","83.40153503417969","125285.28125"
"122","F2","pRH107","RBD","91.72694396972656","3567.638671875"
"122","F2","pRH107","RBD","68.77582550048828","26006.435546875"
"122","F2","pRH107","RBD","66.63822174072266","25876.0859375"
"122","F2","pRH107","RBD","94.65208435058594","3073.89453125"
"123","F3","pRH108","RBD","83.5140380859375","108372.1171875"
"123","F3","pRH108","RBD","92.17696380615234","6504.078125"
"123","F3","pRH108","RBD","77.32624053955078","21501.794921875"
"123","F3","pRH108","RBD","64.16310119628906","22873.99609375"
"123","F3","pRH108","RBD","68.77582550048828","23533.34375"
"124","F4","pRH112","RBD","83.40153503417969","68258.265625"
"124","F4","pRH112","RBD","93.75204467773438","1309.2529296875"
"124","F4","pRH112","RBD","62.58802795410156","13426.8564453125"
"124","F4","pRH112","RBD","78.11378479003906","15524.390625"
"124","F4","pRH112","RBD","70.35090637207031","15809.4853515625"
"125","F5","pRH106_0.1","RBD","83.84882354736328","89633.53125"
"125","F5","pRH106_0.1","RBD","90.59832763671875","-9445.271484375"
"125","F5","pRH106_0.1","RBD","66.07514953613281","22238.623046875"
"125","F5","pRH106_0.1","RBD","68.88743591308594","22086.3828125"
"126","F6","pRH106_0.01","RBD","83.84882354736328","82856.0703125"
"126","F6","pRH106_0.01","RBD","67.08757019042969","20839.5234375"
"126","F6","pRH106_0.01","RBD","70.3498306274414","20711.755859375"
"126","F6","pRH106_0.01","RBD","88.23600006103516","-15748.533203125"
"127","F7","pRH106_0.001","RBD","83.84882354736328","78419.515625"
"127","F7","pRH106_0.001","RBD","69.78736877441406","26489.9921875"
"127","F7","pRH106_0.001","RBD","74.73699951171875","23253.193359375"
"127","F7","pRH106_0.001","RBD","91.83573150634766","-21876.376953125"
"128","F8","pRH106_0.0001","RBD","83.73633575439453","58293.1875"
"128","F8","pRH106_0.0001","RBD","70.12484741210938","20957.375"
"145","G1","pRH106","S2","82.05146789550781","125815.0390625"
"145","G1","pRH106","S2","91.83944702148438","2751.404296875"
"145","G1","pRH106","S2","61.912994384765625","22239.736328125"
"145","G1","pRH106","S2","65.06314849853516","22472.5078125"
"145","G1","pRH106","S2","67.65077209472656","22349.650390625"
"146","G2","pRH107","S2","82.16397857666016","154522.109375"
"146","G2","pRH107","S2","92.4019775390625","5156.19921875"
